"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"788","RT @Smita4rmdHeart: Let’s prepare Birthday Cards for @RahulGandhi 
On 19th June, hold a placard with a message and a birthday wish, take a…",FALSE,0,NA,2020-06-01 11:44:16,FALSE,NA,"1267421702503440385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssawasthi",159,TRUE,FALSE,NA,NA
"789","@aryansofindia @RahulGandhi Very good ... You just keep it up brother..
We'll also try to install Equality in in In… https://t.co/w7NSOdbOXG",FALSE,0,"aryansofindia",2020-06-01 11:44:12,TRUE,"1267420374121230336","1267421687223549953","1210849179804717056","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marathiEinstein",0,FALSE,FALSE,NA,NA
"790","RT @thakkar_sameet: Insensitive CM @OfficeofUT DURING LIVE PRESSER 
CM Relief Fund Used 
AT 27.00 min 85 to 90 crores 
At 27.50 to 28.00 -…",FALSE,0,NA,2020-06-01 11:44:12,FALSE,NA,"1267421685428486145",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BlessedasHindu",380,TRUE,FALSE,NA,NA
"791","RT @BhagchandBajiy5: Honourable
@ashokgehlot51 <U+0938><U+093E><U+0939><U+092C>
@1stIndiaNews
@aajtak
@BBCBreaking
It is necessary to promote 'brain gain ' in educatio…",FALSE,0,NA,2020-06-01 11:44:09,FALSE,NA,"1267421674439421953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BabulalGarhwal2",14,TRUE,FALSE,NA,NA
"792","RT @Nithu530: @HardeepSPuri We are a family of six: one daughter who is now pregnant and needs to be with her husband, another daughter who…",FALSE,0,NA,2020-06-01 11:44:03,FALSE,NA,"1267421649894334464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vyasani",1,TRUE,FALSE,NA,NA
"793","@cnnbrk @nytimes @BBCWorld @washingtonpost @BostonGlobe @UN @TimesofIsrael @Mediapart @RahulGandhi this time in bla… https://t.co/M44wc2MGtO",FALSE,0,"cnnbrk",2020-06-01 11:43:51,TRUE,NA,"1267421597549428736","428333","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vaishalimuzuda",0,FALSE,FALSE,NA,NA
"794","@RuchiraC @RahulGandhi But didn’t this scholar #RahulGandhi say in a recent interview that #COVID<U+30FC>19 would affect o… https://t.co/IIq5qOr5qh",FALSE,0,"RuchiraC",2020-06-01 11:43:44,TRUE,"1241975416530669569","1267421570835771394","328446807","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamsudhish",0,FALSE,FALSE,NA,NA
"795","RT @jitengajaria: ooks like @RahulGandhi has told the ecosystem that its only @OfficeofUT &amp; @AUThackeray govt in Maharashtra. Finally @ndtv…",FALSE,0,NA,2020-06-01 11:43:43,FALSE,NA,"1267421566079508480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Parag_HDC",24,TRUE,FALSE,NA,NA
"796","@barthuismans @pelham_g @DrRhysDrago @homeopathy2010 @AlexMurdoch7 @TakeThatChem @longy_uk @mikegreenhow @BoironUSA… https://t.co/CJp7cEixGf",FALSE,1,"barthuismans",2020-06-01 11:43:42,TRUE,"1267394010399813632","1267421561281302528","2905677028","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andree_dominik",0,FALSE,FALSE,NA,NA
"797","@tanaveenji11 @manickamtagore @RahulGandhi @MukulWasnik @KS_Alagiri @SanjaySDutt @sirivellaprasad @khushsundar… https://t.co/c6pnqCqRRx",FALSE,0,"tanaveenji11",2020-06-01 11:43:33,TRUE,"1267312835253526528","1267421521909370881","448747836","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajaramNaaidu",0,FALSE,FALSE,NA,NA
"798","RT @thakkar_sameet: Insensitive CM @OfficeofUT DURING LIVE PRESSER 
CM Relief Fund Used 
AT 27.00 min 85 to 90 crores 
At 27.50 to 28.00 -…",FALSE,0,NA,2020-06-01 11:43:22,FALSE,NA,"1267421478594637825",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LAKSHMISREEKUM3",380,TRUE,FALSE,NA,NA
"799","RT @ManishKhanduri1: Uttarakhand minister, 21 family members/  staff test positive after allegations of flouting distancing rules. Entire c…",FALSE,0,NA,2020-06-01 11:43:19,FALSE,NA,"1267421464761778176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pahadi_savior",37,TRUE,FALSE,NA,NA
"800","RT @BHEEKHARAM81: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_
#<U+092A>…",FALSE,0,NA,2020-06-01 11:43:17,FALSE,NA,"1267421456159453185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","G14776",48,TRUE,FALSE,NA,NA
"801","RT @BHEEKHARAM81: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_
#<U+092A>…",FALSE,0,NA,2020-06-01 11:43:16,FALSE,NA,"1267421452854312960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nirmalyadav09",48,TRUE,FALSE,NA,NA
"802","@sujataanandan @RahulGandhi I voted for Rahul in 2014 and 2019, will continue to do so in 2024 as well.",FALSE,0,"sujataanandan",2020-06-01 11:43:15,FALSE,"1267383510576349184","1267421447971987456","110392710","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ruthstweets",0,FALSE,FALSE,NA,NA
"803","HOPE THE BLUFF MASTERS, @priyankagandhi @RahulGandhi  OF INTOLERANCE @INCIndia WILL REPLY ON THIS TO THE P'PL OF TH… https://t.co/dCeInHBTGR",FALSE,0,NA,2020-06-01 11:43:12,TRUE,NA,"1267421437809364996",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","janakbhatt16",1,FALSE,FALSE,NA,NA
"804","RT @6591fd8b2f8446f: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_…",FALSE,0,NA,2020-06-01 11:43:12,FALSE,NA,"1267421434034507776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pushpen29954379",11,TRUE,FALSE,NA,NA
"805","RT @BHEEKHARAM81: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_
#<U+092A>…",FALSE,0,NA,2020-06-01 11:43:09,FALSE,NA,"1267421421849853960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Omprakashsahu95",48,TRUE,FALSE,NA,NA
"806","RT @IYCPunjab: No matter how much @BJP4India criticise Congress Party.Even leaders from other parites cannot deny the visionary leadership…",FALSE,0,NA,2020-06-01 11:43:06,FALSE,NA,"1267421410223407104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BAbhishek01",6,TRUE,FALSE,NA,NA
"807","RT @iMac_too: Who's funding him, Pappu ji @RahulGandhi?",FALSE,0,NA,2020-06-01 11:43:03,FALSE,NA,"1267421397632069632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PRASADS52562145",106,TRUE,FALSE,NA,NA
